37_1	55	16	35.59583333	3.4375
37_1	49	16	49.39583333	3.0625
37_1	92	16	58.33333333	5.75
37_1	330	16	518.25	20.625
37_1	817	16	2337.2625	51.0625
37_1	715	16	1307.1625	44.6875
37_1	320	16	303.6	20
37_1	50	16	14.25	3.125
37_1	120	16	67.73333333	7.5
37_1	244	16	337.5333333	15.25
37_1	161	16	92.19583333	10.0625
37_1	131	16	51.89583333	8.1875
37_1	193	16	214.3291667	12.0625
37_1	118	16	92.91666667	7.375
38_1	7	30	0.233333333	0.254022989
38_1	11	30	0.366666667	0.240229885
38_1	30	30	1	1.793103448
38_1	12	30	0.4	0.248275862
38_1	5	30	0.166666667	0.143678161
38_1	200	30	6.666666667	18.64367816
38_1	29	30	0.966666667	1.481609195
38_1	40	30	1.333333333	0.505747126
38_1	28	30	0.933333333	0.064367816
38_1	33	30	1.1	0.575862069
38_1	71	30	2.366666667	0.37816092
38_1	19	30	0.633333333	0.37816092
38_1	40	30	1.333333333	0.298850575
38_1	41	30	1.366666667	0.516091954
38_1	144	30	4.8	1.95862069
38_1	383	30	12.73333333	13.42643678
38_1	472	29	16.18965517	16.54310345
38_1	132	30	4.4	6.248275862
38_1	80	30	2.666666667	1.264367816
38_1	29	30	0.966666667	0.309195402
38_1	46	30	1.533333333	0.602298851
38_1	109	30	3.633333333	2.722988506
38_1	61	30	2.033333333	1.205747126
38_1	551	30	18.28333333	56.99454023
38_1	38	30	1.266666667	0.822988506
38_1	160	30	5.333333333	4.781609195
38_1	304	30	10.08333333	5.001436782
38_1	8	30	0.266666667	0.271264368
38_1	994	30	33.03333333	43.08505747
38_1	105	30	3.5	1.775862069
38_1	65	30	2.166666667	2.557471264
38_1	19	30	0.633333333	0.516091954
38_1	2	30	0.066666667	0.064367816
38_1	178	30	5.816666667	40.85316092
38_1	103	30	3.3	2.94137931
38_1	18	30	0.6	0.868965517
38_1	7	30	0.233333333	0.185057471
38_1	86	29	2.948275862	3.756157635
38_1	136	30	4.516666667	14.21522989
38_1	3	30	0.1	0.093103448
38_1	3	30	0.1	0.093103448
38_1	3	30	0.1	0.162068966
38_1	72	30	2.4	1.144827586
38_1	174	30	5.683333333	8.715229885
38_1	2	30	0.066666667	0.064367816
39_1	5	36	0.138888889	0.18015873
39_1	11	31	0.35483871	0.569892473
39_1	125	42	2.976190476	1.536004646
39_1	77	41	1.87804878	0.559756098
39_1	66	31	2.129032258	1.516129032
39_1	391	41	9.536585366	252.004878
39_1	8	28	0.285714286	0.285714286
39_1	6	13	0.461538462	0.435897436
39_1	46	30	1.533333333	1.498850575
39_1	27	37	0.72972973	1.091591592
39_1	72	37	1.945945946	1.552552553
39_1	50	39	1.282051282	2.102564103
39_1	6	42	0.142857143	0.466898955
39_1	85	40	2.125	8.727564103
39_1	157	42	3.738095238	3.710220674
39_1	77	40	1.925	2.276282051
39_1	132	37	3.567567568	10.1966967
39_1	54	42	1.285714286	4.452961672
39_1	39	36	1.083333333	1.964285714
39_1	930	42	22.14285714	16.71080139
39_1	2	42	0.047619048	0.095238095
39_1	528	42	12.57142857	18.29965157
39_1	420	42	10	7.951219512
39_1	43	40	1.075	1.507051282
39_1	103	40	2.575	3.276282051
39_1	530	42	12.61904762	22.38792102
39_1	685	41	16.70731707	161.0621951
39_1	142	42	3.380952381	3.265969803
39_1	157	38	4.131578947	5.36059744
39_1	55	41	1.341463415	6.030487805
39_1	11	39	0.282051282	1.102564103
39_2	3	14	0.214285714	0.335164835
39_2	1	13	0.076923077	0.076923077
39_2	40	15	2.666666667	0.80952381
39_2	24	14	1.714285714	0.21978022
39_2	17	14	1.214285714	0.950549451
39_2	2	14	0.142857143	0.285714286
39_2	1	12	0.083333333	0.083333333
39_2	21	13	1.615384615	1.423076923
39_2	2	14	0.142857143	0.285714286
39_2	8	10	0.8	0.622222222
39_2	7	11	0.636363636	0.854545455
39_2	14	15	0.933333333	1.638095238
39_2	47	15	3.133333333	2.695238095
39_2	37	13	2.846153846	2.807692308
39_2	8	12	0.666666667	1.515151515
39_2	6	14	0.428571429	0.571428571
39_2	313	15	20.86666667	17.12380952
39_2	3	14	0.214285714	0.181318681
39_2	194	15	12.93333333	12.78095238
39_2	187	15	12.46666667	11.98095238
39_2	8	10	0.8	1.288888889
39_2	26	14	1.857142857	0.747252747
39_2	124	15	8.266666667	8.20952381
39_2	132	15	8.8	47.02857143
39_2	2	15	0.133333333	0.266666667
39_2	45	15	3	0.857142857
39_2	42	15	2.8	2.171428571
39_2	1	14	0.071428571	0.071428571
39_3	21	15	1.4	1.114285714
39_3	25	14	1.785714286	0.489010989
39_3	18	13	1.384615385	0.423076923
39_3	22	13	1.692307692	7.230769231
39_3	17	13	1.307692308	0.897435897
39_3	2	4	0.5	0.333333333
39_3	26	14	1.857142857	1.516483516
39_3	8	12	0.666666667	1.151515152
39_3	16	12	1.333333333	0.787878788
39_3	1	15	0.066666667	0.066666667
39_3	18	15	1.2	1.457142857
39_3	2	13	0.153846154	0.307692308
39_3	30	14	2.142857143	1.054945055
39_3	23	13	1.769230769	2.858974359
39_3	1	14	0.071428571	0.071428571
39_3	1	10	0.1	0.1
39_3	306	15	20.4	8.542857143
39_3	2	14	0.142857143	0.285714286
39_3	144	15	9.6	8.257142857
39_3	114	15	7.6	11.4
39_3	9	13	0.692307692	0.730769231
39_3	7	12	0.583333333	0.628787879
39_3	249	15	16.6	33.68571429
39_3	136	15	9.066666667	23.35238095
39_3	49	15	3.266666667	1.923809524
39_3	36	15	2.4	0.542857143
39_4	14	12	1.166666667	0.696969697
